author,updated_at,like_count,text,video_id,cleaned_text,sentiment,sentiment_score,keywords,entities,topic
@tod_bybein,2026-06-28T21:06:27Z,8,Watch all matches in 4K HDR  on TOD: https://tod.go.link/E7sV6,HW51rM36Ark,watch all matches in 4k hdr on tod,neutral,0.0,"['hdr tod', '4k hdr', 'matches 4k']",[],-1
@Mohamedoumimoun,2026-06-30T23:29:24Z,0,South Africa vs Afrique,HW51rM36Ark,south africa vs afrique,neutral,0.0,"['africa vs', 'south africa', 'vs afrique']","[('south africa', 'GPE')]",16
@Mohamedoumimoun,2026-06-30T23:27:46Z,0,Sud Afrique vs Afrique 😅,HW51rM36Ark,sud afrique vs afrique,neutral,0.0,"['sud afrique', 'afrique vs', 'vs afrique']",[],9
@Masta-m7k,2026-06-30T08:03:58Z,0,Canada,HW51rM36Ark,canada,neutral,0.0,[],"[('canada', 'GPE')]",124
@georgesmelki3319,2026-06-30T01:51:15Z,0,"Well done Canada, my grandsons' country ❤",HW51rM36Ark,well done canada my grandsons country,positive,0.2732,"['canada grandsons', 'grandsons country', 'canada']","[('canada', 'GPE')]",16
@N.roger3497,2026-06-30T00:18:26Z,0,😂😂 south Africans please come back first and fix your country 😂,HW51rM36Ark,south africans please come back first and fix your country,positive,0.3182,"['south africans', 'africans come', 'africans']",[],16
@Fizzlebells,2026-06-30T00:03:21Z,0,The token white guy saved the day lol,HW51rM36Ark,the token white guy saved the day laughing out loud,positive,0.7184,"['token white', 'day laughing', 'white guy']",[],104
@cryptolad-i1d,2026-06-29T19:53:22Z,0,Canada played better. Well deserved win,HW51rM36Ark,canada played better well deserved win,positive,0.8807,"['canada played', 'deserved win', 'better deserved']","[('canada', 'GPE')]",16
@Yeadris,2026-06-29T18:00:28Z,0,BAFANADA TIRAMISU,HW51rM36Ark,bafanada tiramisu,neutral,0.0,"['bafanada tiramisu', 'bafanada', 'tiramisu']","[('bafanada tiramisu', 'ORG')]",-1
@ZØVØ_155,2026-06-29T16:51:19Z,0,South Africa vs Canada? It seems to me Africa Vs Africa? Am I right or am I right?😂,HW51rM36Ark,south africa vs canada it seems to me africa vs africa am i right or am i right,neutral,0.0,"['africa vs', 'vs africa', 'africa right']","[('south africa', 'GPE'), ('canada', 'GPE'), ('africa', 'LOC')]",16
@FooVault,2026-06-29T16:13:28Z,1,Excellent defending by South Africa,HW51rM36Ark,excellent defending by south africa,positive,0.5719,"['defending south', 'excellent defending', 'defending']","[('south africa', 'GPE')]",16
@aatr01,2026-06-29T15:16:51Z,1,The of the most 50%-50% chance of winning game I've ever seen.,HW51rM36Ark,the of the most 50 50 chance of winning game i ve ever seen,positive,0.6872,"['50 chance', 'chance winning', '50 50']",[],-1
@AmethFall-r3x1z,2026-06-29T14:07:45Z,0,Je suis très content de vouloir éliminer Afrique du Sud Par ce que se qu'ils ont fait c'est tellement mal au cœur,HW51rM36Ark,je suis très content de vouloir éliminer afrique du sud par ce que se qu ils ont fait see est tellement mal au cœur,neutral,0.0,"['au cœur', 'par ce', 'est tellement']","[('cœur', 'ORG')]",39
@muhammedjuwara3633,2026-06-29T14:04:13Z,0,As an African i am very happy Canada eliminated South Africa. Thank you Canada 🇨🇦 ❤,HW51rM36Ark,as an african i am very happy canada eliminated south africa thank you canada,positive,0.7574,"['canada eliminated', 'happy canada', 'thank canada']","[('canada', 'GPE'), ('south africa', 'GPE'), ('canada', 'GPE')]",16
@AshrafBegum-q6b2s,2026-06-29T13:32:57Z,2,Unfortunately south Africa failed and got knocked out 😢😢 may allah help them qualify for the next world cup❤❤,HW51rM36Ark,unfortunately south africa failed and got knocked out may allah help them qualify for the next world cup,negative,-0.4588,"['africa failed', 'south africa', 'qualify world']","[('south africa', 'GPE')]",16
@yahkoobtkyahkoob3754,2026-06-29T12:45:31Z,0,South Africa Gud team but prob . Lake of strikers .,HW51rM36Ark,south africa good team but problem lake of strikers,negative,-0.5423,"['lake strikers', 'strikers', 'south africa']","[('south africa', 'GPE')]",16
@sofianekentouri4001,2026-06-29T12:05:39Z,0,Le commentateur sportif en dirait c'est fait avec l'AI🤣🤣,HW51rM36Ark,le commentateur sportif en dirait see est fait avec l Artificial Intelligence,positive,0.7269,"['sportif en', 'commentateur sportif', 'le commentateur']","[('dirait', 'GPE'), ('l artificial intelligence', 'ORG')]",39
@MwakaAli-f4e,2026-06-29T12:02:18Z,0,I'm not happy because of Canada why not score even 10 goals,HW51rM36Ark,i am not happy because of canada why not score even 10 goals,negative,-0.4585,"['canada score', 'happy canada', '10 goals']","[('canada', 'GPE')]",16
@Peacelily01,2026-06-29T10:53:35Z,1,"Me looking for Cruz and steak😂
👇🏼",HW51rM36Ark,me looking for cruz and steak,neutral,0.0,"['cruz steak', 'looking cruz', 'cruz']",[],-1
@AyanmixDbarista,2026-06-29T09:23:17Z,0,"Bayana bayana eye go first blur…..


Thanks Canada 😂😂😂😂",HW51rM36Ark,bayana bayana eye go first blur thanks canada,positive,0.4404,"['bayana eye', 'bayana bayana', 'bayana']","[('bayana bayana eye go', 'PERSON'), ('canada', 'GPE')]",16
@blerimkamberaj1398,2026-06-29T08:41:44Z,0,South Africa one of the most crap teams of the World Cup😂,HW51rM36Ark,south africa one of the most crap teams of the world cup,negative,-0.4391,"['south africa', 'africa crap', 'africa']","[('south africa', 'GPE')]",16
@Shahbuddin123Chowdhury,2026-06-29T08:35:03Z,0,কানাডা  ❤❤❤,HW51rM36Ark,ক ন ড,neutral,0.0,[],[],83
@syedahamed3724,2026-06-29T07:54:59Z,1,Good 👍 ( Indian from Dubai),HW51rM36Ark,good indian from dubai,positive,0.4404,"['indian dubai', 'good indian', 'dubai']","[('dubai', 'GPE')]",115
@EM-jp9ig,2026-06-29T07:10:32Z,0,GO BECK,HW51rM36Ark,go beck,neutral,0.0,[],[],-1
@EM-jp9ig,2026-06-29T07:07:55Z,0,GO BECK HOME AND FIX YOUR KONTRY,HW51rM36Ark,go beck home and fix your kontry,neutral,0.0,"['beck home', 'beck', 'fix kontry']",[],-1
@hammacheamir6704,2026-06-29T07:07:32Z,0,"I loooove goals going on like that one ! Well done, Canada",HW51rM36Ark,i loooove goals going on like that one well done canada,positive,0.5574,"['loooove goals', 'goals going', 'goals']","[('canada', 'GPE')]",16
@cedcol356,2026-06-29T06:43:36Z,0,Goodbye and good riddance,HW51rM36Ark,goodbye and good riddance,positive,0.4404,"['goodbye', 'goodbye good', 'good riddance']",[],34
@youfe7731,2026-06-29T06:13:57Z,0,FIFA the corrupted produced some laugh worthy 32 round games like this one while a strong team like Morocco will face another strong team like Holland 😂😂😂 Enjoy it Canada as long as it lasts ....Farmer league level worthy was this game 😂😂😂,HW51rM36Ark,fifa the corrupted produced some laugh worthy 32 round games like this one while a strong team like morocco will face another strong team like holland enjoy it canada as long as it lasts farmer league level worthy was this game,positive,0.9769,"['fifa corrupted', 'fifa', 'holland enjoy']","[('fifa', 'ORG'), ('morocco', 'GPE'), ('holland', 'GPE'), ('canada', 'GPE')]",16
@Ezekieltanu-t2s,2026-06-29T06:06:36Z,1,They should go to keep their jobs😂,HW51rM36Ark,they should go to keep their jobs,neutral,0.0,['jobs'],[],-1
@ssemujjuvincentwilliam7569,2026-06-29T05:33:32Z,0,"Well done Canada, one welcome foreigners, another mistreated them. God and time",HW51rM36Ark,well done canada one welcome foreigners another mistreated them god and time,positive,0.7351,"['canada welcome', 'foreigners mistreated', 'welcome foreigners']","[('canada', 'GPE')]",16
@GeorgeWilliam-h2z,2026-06-29T05:26:46Z,0,Canada have taken bafana bafana job 😂😂😂😂,HW51rM36Ark,canada have taken bafana bafana job,neutral,0.0,"['bafana job', 'bafana bafana', 'bafana']","[('canada', 'GPE')]",16
@jean-francoisdepondicherry9626,2026-06-29T05:15:04Z,0,The poorest technical level i have ever seen on a world cup... A shame ! And SA that refuse to play for minutes.. 😢,HW51rM36Ark,the poorest technical level i have ever seen on a world cup a shame and sa that refuse to play for minutes,negative,-0.7506,"['shame sa', 'sa refuse', 'poorest technical']",[],-1
